model,likes,downloads,tags
MN-DARKEST-UNIVERSE-29B-GGUF,42,3146,"gguf, mistral nemo, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, storytelling, fiction story, science fiction, romance, all genres, story, writing, vivid prosing, vivid writing, fiction, roleplaying, bfloat16, brainstorm 40x, swearing, mistral-nemo, mistral, mistral-nemo-instruct, mn, 128k context, rp, horror, mergekit, merge, text-generation, en, arxiv:2401.02415, base_model:DavidAU/MN-DARKEST-UNIVERSE-29B, base_model:merge:DavidAU/MN-DARKEST-UNIVERSE-29B, base_model:mistralai/Mistral-Nemo-Instruct-2407, base_model:merge:mistralai/Mistral-Nemo-Instruct-2407, license:apache-2.0, endpoints_compatible, region:us"
SmolLM2-1.7B-Instruct-GGUF,42,9429,"transformers, gguf, llama-cpp, gguf-my-repo, text-generation, en, base_model:HuggingFaceTB/SmolLM2-1.7B-Instruct, base_model:quantized:HuggingFaceTB/SmolLM2-1.7B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
INTELLECT-1-Instruct-GGUF,42,75,"gguf, text-generation, en, dataset:PrimeIntellect/fineweb-edu, dataset:PrimeIntellect/fineweb, dataset:PrimeIntellect/StackV1-popular, dataset:mlfoundations/dclm-baseline-1.0-parquet, dataset:open-web-math/open-web-math, dataset:arcee-ai/EvolKit-75K, dataset:arcee-ai/Llama-405B-Logits, dataset:arcee-ai/The-Tomb, dataset:mlabonne/open-perfectblend-fixed, dataset:microsoft/orca-agentinstruct-1M-v1-cleaned, dataset:Post-training-Data-Flywheel/AutoIF-instruct-61k-with-funcs, dataset:Team-ACE/ToolACE, dataset:Synthia-coder, dataset:ServiceNow-AI/M2Lingual, dataset:AI-MO/NuminaMath-TIR, dataset:allenai/tulu-3-sft-personas-code, dataset:allenai/tulu-3-sft-personas-math, dataset:allenai/tulu-3-sft-personas-math-grade, dataset:allenai/tulu-3-sft-personas-algebra, base_model:PrimeIntellect/INTELLECT-1-Instruct, base_model:quantized:PrimeIntellect/INTELLECT-1-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
UIGEN-T1.1-Qwen-14B-GGUF,42,29,"gguf, code, ui, generation, uigen, en, dataset:smirki/UI_REASONING_v1.01, base_model:smirki/UIGEN-T1.1-Qwen-14B, base_model:quantized:smirki/UIGEN-T1.1-Qwen-14B, license:apache-2.0, endpoints_compatible, region:us, conversational"
huihui-ai_QwQ-32B-abliterated-GGUF,42,9872,"gguf, chat, abliterated, uncensored, text-generation, en, base_model:huihui-ai/QwQ-32B-abliterated, base_model:quantized:huihui-ai/QwQ-32B-abliterated, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
U-Amethyst-20B-GGUF,41,386,"transformers, gguf, llama, not-for-all-audiences, nsfw, base_model:Undi95/U-Amethyst-20B, base_model:quantized:Undi95/U-Amethyst-20B, license:cc-by-nc-4.0, region:us"
Toppy-M-7B-GGUF,41,317,"gguf, not-for-all-audiences, nsfw, merge, license:cc-by-nc-4.0, endpoints_compatible, region:us"
Llama-2-7b-chat-hf-function-calling-v3,41,113,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-2, gguf, function-calling, function calling, conversational, en, arxiv:2307.09288, autotrain_compatible, text-generation-inference, region:us"
Nous-Hermes-2-Yi-34B-GGUF,41,1702,"transformers, gguf, yi, instruct, finetune, chatml, gpt4, synthetic data, distillation, en, base_model:NousResearch/Nous-Hermes-2-Yi-34B, base_model:quantized:NousResearch/Nous-Hermes-2-Yi-34B, license:apache-2.0, region:us, conversational"
Llama-3-Unholy-8B-GGUF,41,44,"gguf, not-for-all-audiences, nsfw, license:cc-by-nc-4.0, endpoints_compatible, region:us"
Hermes-3-Llama-3.1-70B-GGUF,41,387,"gguf, Llama-3, instruct, finetune, chatml, gpt4, synthetic data, distillation, function calling, json mode, axolotl, roleplaying, chat, en, arxiv:2408.11857, base_model:meta-llama/Llama-3.1-70B, base_model:quantized:meta-llama/Llama-3.1-70B, license:llama3, endpoints_compatible, region:us, conversational"
Llama-3.1-Storm-8B-GGUF,41,597,"gguf, llama, llama-3.1, conversational, instruction following, reasoning, function calling, text-generation, en, de, fr, it, pt, hi, es, th, arxiv:2406.06623, arxiv:2311.07911, arxiv:2311.12022, arxiv:2406.01574, arxiv:1803.05457, arxiv:2310.16049, arxiv:2210.09261, arxiv:2109.07958, base_model:akjindal53244/Llama-3.1-Storm-8B, base_model:quantized:akjindal53244/Llama-3.1-Storm-8B, license:llama3.1, endpoints_compatible, region:us"
DeepSeek-V2.5-GGUF,41,572,"gguf, text-generation, base_model:deepseek-ai/DeepSeek-V2.5, base_model:quantized:deepseek-ai/DeepSeek-V2.5, license:other, endpoints_compatible, region:us, imatrix, conversational"
UnslopNemo-12B-v2-GGUF,41,533,"gguf, endpoints_compatible, region:us, conversational"
Qwen2.5-3B-Instruct-GGUF,41,69514,"gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-3B-Instruct, base_model:quantized:Qwen/Qwen2.5-3B-Instruct, license:other, endpoints_compatible, region:us, conversational"
Qwen2.5-32B-AGI-GGUF,41,2246,"gguf, text-generation, zh, en, base_model:AiCloser/Qwen2.5-32B-AGI, base_model:quantized:AiCloser/Qwen2.5-32B-AGI, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
Qwen2.5-14B-Instruct-1M-GGUF,41,1985,"gguf, chat, text-generation, en, base_model:Qwen/Qwen2.5-14B-Instruct-1M, base_model:quantized:Qwen/Qwen2.5-14B-Instruct-1M, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
MistralLite-7B-GGUF,40,768,"transformers, gguf, mistral, base_model:amazon/MistralLite, base_model:quantized:amazon/MistralLite, license:apache-2.0, region:us"
llava-v1.6-34B-gguf,40,1264,"gguf, llava, image-text-to-text, license:apache-2.0, endpoints_compatible, region:us, conversational"
Kunoichi-DPO-v2-7B-GGUF-Imatrix,40,3370,"transformers, gguf, mistral, quantized, text-generation-inference, text-generation, base_model:SanjiWatsuki/Kunoichi-DPO-v2-7B, base_model:quantized:SanjiWatsuki/Kunoichi-DPO-v2-7B, license:cc-by-nc-4.0, region:us"
DanTagGen-alpha,40,5803,"transformers, safetensors, gguf, llama, text-generation, not-for-all-audiences, art, en, dataset:KBlueLeaf/danbooru2023-sqlite, license:openrail, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
Model-Requests,40,0,"requests, gguf, quantized, license:apache-2.0, region:us"
c4ai-command-r-plus-GGUF,40,10898,"gguf, text-generation, base_model:CohereLabs/c4ai-command-r-plus, base_model:quantized:CohereLabs/c4ai-command-r-plus, license:cc-by-nc-4.0, endpoints_compatible, region:us, conversational"
OpenBioLLM-Llama3-8B-GGUF,40,1001,"gguf, license:mit, endpoints_compatible, region:us"
Phi-3.1-mini-4k-instruct-GGUF,40,2409,"gguf, nlp, code, text-generation, en, base_model:microsoft/Phi-3-mini-4k-instruct, base_model:quantized:microsoft/Phi-3-mini-4k-instruct, license:mit, endpoints_compatible, region:us, conversational"
internlm2_5-20b-chat-gguf,40,849,"gguf, chat, text-generation, en, license:apache-2.0, endpoints_compatible, region:us, conversational"
magnum-v2.5-12b-kto-gguf,40,547,"gguf, chat, text-generation, en, fr, de, es, it, pt, ru, zh, ja, base_model:anthracite-org/magnum-v2.5-12b-kto, base_model:quantized:anthracite-org/magnum-v2.5-12b-kto, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
SuperNova-Medius-GGUF,40,647,"gguf, mergekit, merge, text-generation, base_model:arcee-ai/SuperNova-Medius, base_model:quantized:arcee-ai/SuperNova-Medius, license:apache-2.0, endpoints_compatible, region:us, conversational"
aya-expanse-8b-GGUF,40,6564,"gguf, text-generation, en, fr, de, es, it, pt, ja, ko, zh, ar, el, fa, pl, id, cs, he, hi, nl, ro, ru, tr, uk, vi, base_model:CohereLabs/aya-expanse-8b, base_model:quantized:CohereLabs/aya-expanse-8b, license:cc-by-nc-4.0, region:us, conversational"
Phi-4-mini-instruct-GGUF,40,10546,"transformers, gguf, phi3, text-generation, phi, phi4, unsloth, nlp, code, microsoft, math, chat, conversational, custom_code, multilingual, base_model:microsoft/Phi-4-mini-instruct, base_model:quantized:microsoft/Phi-4-mini-instruct, license:mit, autotrain_compatible, endpoints_compatible, region:us"
Xwin-MLewd-13B-v0.2-GGUF,39,3229,"transformers, gguf, llama, not-for-all-audiences, nsfw, base_model:Undi95/Xwin-MLewd-13B-V0.2, base_model:quantized:Undi95/Xwin-MLewd-13B-V0.2, license:cc-by-nc-4.0, region:us"
DeciLM-7B-instruct-GGUF,39,57,"transformers, gguf, llama, text-generation, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, conversational"
Poppy_Porpoise-0.72-L3-8B-GGUF-IQ-Imatrix,39,742,"gguf, roleplay, endpoints_compatible, region:us"
Mistral-7B-Instruct-v0.3-GGUF,39,20388,"gguf, text-generation, base_model:mistralai/Mistral-7B-Instruct-v0.3, base_model:quantized:mistralai/Mistral-7B-Instruct-v0.3, license:apache-2.0, endpoints_compatible, region:us, conversational"
Llama-3-Instruct-8B-SPPO-Iter3-GGUF,39,353,"gguf, text-generation, en, dataset:openbmb/UltraFeedback, license:apache-2.0, endpoints_compatible, region:us, conversational"
Smegmma-9B-v1-GGUF,39,228,"gguf, not-for-all-audiences, license:cc-by-nc-4.0, endpoints_compatible, region:us, conversational"
gemma-2-9b-it-abliterated-GGUF,39,2406,"gguf, text-generation, en, base_model:IlyaGusev/gemma-2-9b-it-abliterated, base_model:quantized:IlyaGusev/gemma-2-9b-it-abliterated, license:gemma, endpoints_compatible, region:us, conversational"
Meta-Llama-3.1-70B-Instruct-GGUF,39,208670,"gguf, quantized, 2-bit, 3-bit, 4-bit, 5-bit, 6-bit, 8-bit, GGUF, text-generation, en, de, fr, it, pt, hi, es, th, base_model:meta-llama/Llama-3.1-70B-Instruct, base_model:quantized:meta-llama/Llama-3.1-70B-Instruct, region:us, imatrix, conversational"
meta-405b-instruct-cpu-optimized-gguf,39,248,"gguf, base_model:meta-llama/Llama-3.1-405B-Instruct, base_model:quantized:meta-llama/Llama-3.1-405B-Instruct, endpoints_compatible, region:us, imatrix, conversational"
creative-writing-control-vectors-v3.0,39,167004,"gguf, control-vector, creative-writing, license:apache-2.0, region:us"
Llama-3.2-4X3B-MOE-Hell-California-Uncensored-10B-GGUF,39,4336,"gguf, mixture of experts, moe, 4x3B, Llama 3.2 MOE, uncensored, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, storytelling, fiction story, science fiction, romance, all genres, story, writing, vivid prosing, vivid writing, fiction, roleplaying, bfloat16, swearing, rp, horror, mergekit, llama-3, llama-3.2, text-generation, en, base_model:DavidAU/Llama-3.2-4X3B-MOE-Hell-California-10B, base_model:quantized:DavidAU/Llama-3.2-4X3B-MOE-Hell-California-10B, license:apache-2.0, endpoints_compatible, region:us, conversational"
stable-diffusion-3.5-medium-turbo,39,2914,"diffusers, safetensors, gguf, text-to-image, en, base_model:stabilityai/stable-diffusion-3.5-medium, base_model:quantized:stabilityai/stable-diffusion-3.5-medium, license:other, diffusers:StableDiffusion3Pipeline, region:us"
Qwen2-VL-7B-Instruct-GGUF,39,4510,"gguf, multimodal, image-text-to-text, en, base_model:Qwen/Qwen2-VL-7B-Instruct, base_model:quantized:Qwen/Qwen2-VL-7B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
cyberagent-DeepSeek-R1-Distill-Qwen-32B-Japanese-gguf,39,2830,"gguf, en, ja, dataset:TFMC/imatrix-dataset-for-japanese-llm, license:mit, endpoints_compatible, region:us, imatrix, conversational"
all-hands_openhands-lm-32b-v0.1-GGUF,39,7108,"gguf, agent, coding, text-generation, en, dataset:SWE-Gym/SWE-Gym, base_model:all-hands/openhands-lm-32b-v0.1, base_model:quantized:all-hands/openhands-lm-32b-v0.1, license:mit, endpoints_compatible, region:us, imatrix, conversational"
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B-GGUF,39,34275,"gguf, text-generation, base_model:deepseek-ai/DeepSeek-R1-0528-Qwen3-8B, base_model:quantized:deepseek-ai/DeepSeek-R1-0528-Qwen3-8B, license:mit, endpoints_compatible, region:us, conversational"
Yarn-Llama-2-13B-128K-GGUF,38,806,"transformers, gguf, llama, dataset:pg19, arxiv:2309.00071, base_model:NousResearch/Yarn-Llama-2-13b-128k, base_model:quantized:NousResearch/Yarn-Llama-2-13b-128k, license:llama2, region:us"
Guanaco-13B-Uncensored-GGUF,38,809,"transformers, gguf, llama, conversational, en, dataset:Fredithefish/openassistant-guanaco-unfiltered, base_model:Fredithefish/Guanaco-13B-Uncensored, base_model:quantized:Fredithefish/Guanaco-13B-Uncensored, license:apache-2.0, region:us"
MLewd-ReMM-L2-Chat-20B-GGUF,38,1381,"transformers, gguf, llama, not-for-all-audiences, nsfw, base_model:Undi95/MLewd-ReMM-L2-Chat-20B, base_model:quantized:Undi95/MLewd-ReMM-L2-Chat-20B, license:cc-by-nc-4.0, region:us"
em_german_leo_mistral-GGUF,38,1344,"transformers, gguf, mistral, pytorch, german, deutsch, leolm, text-generation, de, base_model:jphme/em_german_leo_mistral, base_model:quantized:jphme/em_german_leo_mistral, license:apache-2.0, region:us"
deepseek-coder-1.3b-instruct-GGUF,38,9523,"transformers, gguf, deepseek, base_model:deepseek-ai/deepseek-coder-1.3b-instruct, base_model:quantized:deepseek-ai/deepseek-coder-1.3b-instruct, license:other, region:us"
Beyonder-4x7B-v2-GGUF,38,226,"transformers, gguf, mixtral, moe, base_model:mlabonne/Beyonder-4x7B-v2, base_model:quantized:mlabonne/Beyonder-4x7B-v2, license:apache-2.0, region:us"
dolphin-2.6-mistral-7B-dpo-laser-GGUF,38,1597,"transformers, gguf, mistral, en, dataset:ehartford/dolphin, dataset:jondurbin/airoboros-2.2.1, dataset:ehartford/dolphin-coder, dataset:teknium/openhermes, dataset:ise-uiuc/Magicoder-OSS-Instruct-75K, dataset:ise-uiuc/Magicoder-Evol-Instruct-110K, dataset:LDJnr/Capybara, arxiv:2312.13558, base_model:cognitivecomputations/dolphin-2.6-mistral-7b-dpo-laser, base_model:quantized:cognitivecomputations/dolphin-2.6-mistral-7b-dpo-laser, license:apache-2.0, region:us"
KafkaLM-70B-German-V0.1-GGUF,38,1167,"transformers, gguf, llama, llama2, deutsch, german, seedbox, text-generation, de, dataset:seedboxai/multitask_german_examples_32k, base_model:seedboxai/KafkaLM-70B-German-V0.1, base_model:quantized:seedboxai/KafkaLM-70B-German-V0.1, license:llama2, region:us"
Fugaku-LLM-13B-instruct-gguf,38,64,"gguf, ja, en, license:other, endpoints_compatible, region:us"
Hermes-2-Theta-Llama-3-70B-GGUF,38,55,"gguf, distillation, synthetic data, function calling, structured outputs, json mode, text-generation, en, license:llama3, endpoints_compatible, region:us, conversational"
Lumimaid-v0.2-8B-GGUF-IQ-Imatrix,38,1163,"transformers, gguf, roleplay, llama3, sillytavern, en, base_model:NeverSleep/Lumimaid-v0.2-8B, base_model:quantized:NeverSleep/Lumimaid-v0.2-8B, license:cc-by-nc-4.0, region:us, conversational"
L3-Dark-Planet-8B-GGUF,38,2113,"gguf, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, storytelling, fiction story, science fiction, romance, all genres, story, writing, vivid prose, vivid writing, fiction, roleplaying, bfloat16, swearing, rp, llama3, llama-3, enhanced quants, max quants, maxcpu quants, horror, mergekit, text-generation, en, base_model:DavidAU/L3-Dark-Planet-8B, base_model:quantized:DavidAU/L3-Dark-Planet-8B, license:apache-2.0, endpoints_compatible, region:us, conversational"
Qwen2.5-72B-Instruct-GGUF,38,8280,"gguf, chat, text-generation, en, base_model:Qwen/Qwen2.5-72B-Instruct, base_model:quantized:Qwen/Qwen2.5-72B-Instruct, license:other, endpoints_compatible, region:us, imatrix, conversational"
Qwen2.5-32B-Instruct-GGUF,38,1965,"gguf, chat, text-generation, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-32B-Instruct, base_model:quantized:Qwen/Qwen2.5-32B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Qwen2.5-14B-Instruct-GGUF,38,5728,"gguf, chat, text-generation, en, base_model:Qwen/Qwen2.5-14B-Instruct, base_model:quantized:Qwen/Qwen2.5-14B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Llama-3.2-1B-Instruct-GGUF,38,10321,"transformers, gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, de, fr, it, pt, hi, es, th, base_model:meta-llama/Llama-3.2-1B-Instruct, base_model:quantized:meta-llama/Llama-3.2-1B-Instruct, license:llama3.2, endpoints_compatible, region:us, conversational"
Cydonia-22B-v1.2-GGUF,38,1649,"gguf, license:other, endpoints_compatible, region:us, conversational"
Llama-3.1-Nemotron-70B-Instruct-HF-GGUF,38,243,"gguf, nvidia, llama3.1, text-generation, en, dataset:nvidia/HelpSteer2, base_model:nvidia/Llama-3.1-Nemotron-70B-Instruct-HF, base_model:quantized:nvidia/Llama-3.1-Nemotron-70B-Instruct-HF, license:llama3.1, region:us, conversational"
DeepSeek-R1-Distill-Qwen-14B-GGUF,38,8552,"gguf, text-generation, base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B, endpoints_compatible, region:us, conversational"
agentica-org_DeepScaleR-1.5B-Preview-GGUF,38,2185,"gguf, text-generation, en, dataset:AI-MO/NuminaMath-CoT, dataset:KbsdJames/Omni-MATH, dataset:RUC-AIBOX/STILL-3-Preview-RL-Data, dataset:hendrycks/competition_math, base_model:agentica-org/DeepScaleR-1.5B-Preview, base_model:quantized:agentica-org/DeepScaleR-1.5B-Preview, license:mit, endpoints_compatible, region:us, imatrix, conversational"
gemma-3-1b-it-GGUF,38,42742,"transformers, gguf, gemma3_text, text-generation, unsloth, gemma3, gemma, google, en, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-1b-it, base_model:quantized:google/gemma-3-1b-it, license:gemma, autotrain_compatible, endpoints_compatible, region:us, conversational"
google_gemma-3-12b-it-GGUF,38,6790,"gguf, image-text-to-text, base_model:google/gemma-3-12b-it, base_model:quantized:google/gemma-3-12b-it, license:gemma, endpoints_compatible, region:us, conversational"
Mistral-Small-3.1-24B-Instruct-2503-GGUF,38,4273,"gguf, text-generation, en, fr, de, es, pt, it, ja, ko, ru, zh, ar, fa, id, ms, ne, pl, ro, sr, sv, tr, uk, vi, hi, bn, base_model:mistralai/Mistral-Small-3.1-24B-Instruct-2503, base_model:quantized:mistralai/Mistral-Small-3.1-24B-Instruct-2503, license:apache-2.0, region:us, conversational"
Qwen3-32B-GGUF,38,24113,"gguf, text-generation, arxiv:2309.00071, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, endpoints_compatible, region:us, conversational"
Qwen3-14B-GGUF,38,21404,"gguf, text-generation, arxiv:2309.00071, base_model:Qwen/Qwen3-14B, base_model:quantized:Qwen/Qwen3-14B, license:apache-2.0, endpoints_compatible, region:us, conversational"
MythoMax-L2-Kimiko-v2-13B-GGUF,37,7627,"transformers, gguf, llama, base_model:Undi95/MythoMax-L2-Kimiko-v2-13b, base_model:quantized:Undi95/MythoMax-L2-Kimiko-v2-13b, license:cc-by-nc-4.0, region:us"
Nous-Capybara-7B-V1-GGUF,37,70,"gguf, llama-2, sft, eng, dataset:LDJnr/Capybara, dataset:LDJnr/LessWrong-Amplify-Instruct, dataset:LDJnr/Pure-Dove, dataset:LDJnr/Verified-Camel, license:mit, endpoints_compatible, region:us"
Emerhyst-20B-GGUF,37,683,"transformers, gguf, llama, not-for-all-audiences, nsfw, base_model:Undi95/Emerhyst-20B, base_model:quantized:Undi95/Emerhyst-20B, license:cc-by-nc-4.0, region:us"
CausalLM-7B-DPO-alpha-GGUF,37,484,"transformers, gguf, llama, llama2, qwen, text-generation, en, zh, dataset:JosephusCheung/GuanacoDataset, dataset:Open-Orca/OpenOrca, dataset:stingning/ultrachat, dataset:meta-math/MetaMathQA, dataset:liuhaotian/LLaVA-Instruct-150K, dataset:jondurbin/airoboros-3.1, dataset:WizardLM/WizardLM_evol_instruct_V2_196k, dataset:RyokoAI/ShareGPT52K, dataset:RyokoAI/Fandom23K, dataset:milashkaarshif/MoeGirlPedia_wikitext_raw_archive, dataset:wikipedia, dataset:wiki_lingua, dataset:fnlp/moss-003-sft-data, dataset:garage-bAInd/Open-Platypus, dataset:LDJnr/Puffin, dataset:openbmb/llava_zh, dataset:BAAI/COIG, dataset:TigerResearch/tigerbot-zhihu-zh-10k, dataset:liwu/MNBVC, dataset:teknium/openhermes, base_model:CausalLM/7B-DPO-alpha, base_model:quantized:CausalLM/7B-DPO-alpha, license:wtfpl, region:us"
EstopianMaid-13B-GGUF,37,1792,"transformers, gguf, roleplay, text-generation-inference, en, license:apache-2.0, endpoints_compatible, region:us"
Phi-3-medium-4k-instruct-GGUF,37,2583,"gguf, nlp, code, text-generation, multilingual, base_model:microsoft/Phi-3-medium-4k-instruct, base_model:quantized:microsoft/Phi-3-medium-4k-instruct, license:mit, endpoints_compatible, region:us, imatrix, conversational"
Tiger-Gemma-9B-v2-GGUF,37,919,"gguf, endpoints_compatible, region:us, conversational"
magnum-v2-12b-gguf,37,1223,"gguf, chat, text-generation, en, fr, de, es, it, pt, ru, zh, ja, base_model:anthracite-org/magnum-v2-12b, base_model:quantized:anthracite-org/magnum-v2-12b, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
UnslopNemo-12B-v3-GGUF,37,4850,"gguf, endpoints_compatible, region:us, conversational"
Qwen2.5-Coder-3B-Instruct-GGUF,37,10642,"transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation, en, arxiv:2409.12186, arxiv:2407.10671, base_model:Qwen/Qwen2.5-Coder-3B-Instruct, base_model:quantized:Qwen/Qwen2.5-Coder-3B-Instruct, license:other, endpoints_compatible, region:us, conversational"
Qwen2.5-7B-Instruct-1M-GGUF,37,5055,"gguf, chat, text-generation, en, base_model:Qwen/Qwen2.5-7B-Instruct-1M, base_model:quantized:Qwen/Qwen2.5-7B-Instruct-1M, license:apache-2.0, endpoints_compatible, region:us, conversational"
DAN-L3-R1-8B,37,2069,"transformers, safetensors, gguf, llama, text-generation, UnfilteredAI, DAN, NSFW, Unfiltered, Toxic-AI, not-for-all-audiences, Llama3, conversational, en, base_model:deepseek-ai/DeepSeek-R1-Distill-Llama-8B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-8B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
gemma-3-12b-it-abliterated-GGUF,37,5125,"transformers, gguf, autoquant, image-text-to-text, base_model:google/gemma-3-12b-it, base_model:quantized:google/gemma-3-12b-it, license:gemma, endpoints_compatible, region:us, conversational"
CodeLlama-34B-Python-GGUF,36,1105,"transformers, gguf, llama, llama-2, text-generation, code, arxiv:2308.12950, license:llama2, region:us"
liuhaotian_llava-v1.5-13b-GGUF,36,779,"gguf, llava, image-text-to-text, endpoints_compatible, region:us"
Home-3B-v3-GGUF,36,1591,"gguf, automation, home, assistant, text-generation, en, de, es, fr, dataset:acon96/Home-Assistant-Requests, license:other, endpoints_compatible, region:us, conversational"
Meta-Llama-3.1-70B-Instruct-GGUF,36,338,"transformers, gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, de, fr, it, pt, hi, es, th, base_model:meta-llama/Llama-3.1-70B-Instruct, base_model:quantized:meta-llama/Llama-3.1-70B-Instruct, license:llama3.1, endpoints_compatible, region:us, imatrix, conversational"
ComfyUI-Auto_installer,36,22693,"diffusers, onnx, safetensors, gguf, license:mit, endpoints_compatible, region:us"
magnum-v4-12b-gguf,36,1052,"transformers, gguf, chat, text-generation, en, dataset:anthracite-org/c2_logs_32k_llama3_qwen2_v1.2_no_system, dataset:anthracite-org/kalo-opus-instruct-22k-no-refusal-no-system, dataset:anthracite-org/kalo-opus-instruct-3k-filtered-no-system, dataset:anthracite-org/nopm_claude_writing_fixed, dataset:anthracite-org/kalo_opus_misc_240827_no_system, dataset:anthracite-org/kalo_misc_part2_no_system, license:apache-2.0, endpoints_compatible, region:us, conversational"
Bamba-9B-v1,36,12813,"transformers, safetensors, gguf, bamba, text-generation, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us"
WiNGPT-Babel,36,576,"safetensors, gguf, qwen2, translation, multilingual, text-generation, conversational, en, zh, base_model:Qwen/Qwen2.5-1.5B, base_model:quantized:Qwen/Qwen2.5-1.5B, license:apache-2.0, endpoints_compatible, region:us"
Tessa-Rust-T1-7B-Q8_0-GGUF,36,123,"transformers, gguf, llama-cpp, gguf-my-repo, dataset:Tesslate/Rust_Dataset, base_model:Tesslate/Tessa-Rust-T1-7B, base_model:quantized:Tesslate/Tessa-Rust-T1-7B, endpoints_compatible, region:us, conversational"
Qwen_Qwen3-32B-GGUF,36,13894,"gguf, text-generation, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
Qwen3-Embedding-8B-GGUF,36,14496,"gguf, arxiv:2506.05176, base_model:Qwen/Qwen3-8B-Base, base_model:quantized:Qwen/Qwen3-8B-Base, license:apache-2.0, endpoints_compatible, region:us, conversational"
CollectiveCognition-v1.1-Mistral-7B-GGUF,35,516,"transformers, gguf, mistral, mistral-7b, instruct, finetune, gpt4, synthetic data, distillation, sharegpt, en, dataset:CollectiveCognition/chats-data-2023-09-27, base_model:teknium/CollectiveCognition-v1.1-Mistral-7B, base_model:quantized:teknium/CollectiveCognition-v1.1-Mistral-7B, license:apache-2.0, region:us"
Nethena-MLewd-Xwin-23B-GGUF,35,520,"transformers, gguf, llama, not-for-all-audiences, nsfw, base_model:Undi95/Nethena-MLewd-Xwin-23B, base_model:quantized:Undi95/Nethena-MLewd-Xwin-23B, license:cc-by-nc-4.0, region:us"
claude2-alpaca-13B-GGUF,35,3331,"transformers, gguf, llama, en, dataset:umd-zhou-lab/claude2_alpaca, base_model:umd-zhou-lab/claude2-alpaca-13B, base_model:quantized:umd-zhou-lab/claude2-alpaca-13B, license:llama2, region:us"
rocket-3B-GGUF,35,4842,"transformers, gguf, stablelm, en, arxiv:2305.18290, arxiv:2101.00027, arxiv:2305.06161, base_model:pansophic/rocket-3B, base_model:quantized:pansophic/rocket-3B, license:cc-by-sa-4.0, region:us"
Mixtral_34Bx2_MoE_60B-GGUF,35,777,"transformers, gguf, mixtral, base_model:cloudyu/Mixtral_34Bx2_MoE_60B, base_model:quantized:cloudyu/Mixtral_34Bx2_MoE_60B, license:cc-by-nc-4.0, region:us"
Japanese-Starling-ChatV-7B-GGUF,35,394,"gguf, Mistral, text-generation, ja, license:apache-2.0, endpoints_compatible, region:us"
Phi-3-mini-128k-instruct-GGUF,35,1628,"gguf, nlp, code, text-generation, en, license:mit, endpoints_compatible, region:us, conversational"
Llama-3-Lumimaid-8B-v0.1-GGUF,35,113,"gguf, not-for-all-audiences, nsfw, license:cc-by-nc-4.0, endpoints_compatible, region:us"
